## net.sf.picard.metrics.StringHeader
# net.sf.picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=D908.realigned-recalibrated.historgram.txt INPUT=/hpf/largeprojects/adam/hyper/data/bam/D908.realigned-recalibrated.bam OUTPUT=D908.realigned-recalibrated.insertsizemetrics.txt VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Sat Mar 29 18:40:38 EDT 2014

## METRICS CLASS	net.sf.picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
190	33	1	208075025	201.124261	54.48157	37019283	FR	13	27	39	53	67	83	99	123	173	363			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
1	1
10	1
11	1
16	1
17	1
21	1
22	1
28	1
30	1
33	1
37	1
38	1
40	1
51	1
56	1
58	1
61	1
63	1
64	1
66	2
67	2
69	1
70	1
72	1
74	1
75	1
76	1
78	1
79	1
81	3
84	1
85	1
86	1
88	4
89	12
90	48
91	153
92	486
93	912
94	1413
95	1724
96	2122
97	2531
98	2934
99	3637
100	4089
101	4901
102	5777
103	6769
104	7767
105	9101
106	10487
107	12269
108	14067
109	16270
110	18609
111	21225
112	23882
113	27455
114	30957
115	34943
116	38959
117	43676
118	48869
119	54030
120	60510
121	67196
122	73582
123	80453
124	87238
125	95393
126	102115
127	110645
128	119072
129	127363
130	135801
131	144572
132	153503
133	162361
134	170761
135	179537
136	187542
137	197405
138	206044
139	212696
140	221686
141	230658
142	237652
143	244652
144	252598
145	258690
146	265537
147	272048
148	277085
149	282727
150	287786
151	293732
152	296758
153	301119
154	305989
155	307304
156	312083
157	314688
158	317485
159	318911
160	321270
161	322984
162	323679
163	323951
164	326475
165	327814
166	326790
167	327022
168	327711
169	327503
170	327434
171	324937
172	324427
173	323408
174	323435
175	322576
176	320501
177	317770
178	317689
179	315357
180	313918
181	311861
182	309198
183	306664
184	305893
185	302853
186	300446
187	298267
188	295677
189	292852
190	290036
191	287733
192	284535
193	283155
194	279225
195	277784
196	274898
197	271288
198	269378
199	265696
200	263424
201	260288
202	257094
203	254285
204	250673
205	247970
206	244671
207	242815
208	239410
209	236530
210	233140
211	229477
212	227056
213	224191
214	220919
215	218461
216	216075
217	212477
218	209480
219	207199
220	203789
221	199795
222	198035
223	194728
224	191617
225	189378
226	186793
227	183909
228	181731
229	179053
230	176454
231	172930
232	169739
233	168271
234	164300
235	162954
236	160036
237	157972
238	155167
239	152994
240	150570
241	147174
242	145157
243	143248
244	140406
245	138688
246	135734
247	133785
248	131543
249	129256
250	126794
251	124817
252	123213
253	120643
254	118447
255	116434
256	113774
257	112206
258	110721
259	108823
260	106814
261	104600
262	103755
263	100758
264	99396
265	97465
266	96106
267	94338
268	92228
269	91044
270	88921
271	87548
272	85450
273	84229
274	83136
275	81071
276	79696
277	77911
278	76910
279	74911
280	73507
281	71878
282	70265
283	69205
284	67909
285	66640
286	65101
287	63765
288	62651
289	61469
290	60082
291	59422
292	58012
293	56825
294	55440
295	54113
296	53327
297	52247
298	51056
299	50269
300	49082
301	48171
302	47069
303	46146
304	45245
305	44678
306	43245
307	42324
308	41367
309	40460
310	39475
311	38710
312	38088
313	37173
314	36936
315	35661
316	35055
317	33906
318	33741
319	32747
320	31987
321	31246
322	30684
323	29931
324	29395
325	28761
326	27699
327	27303
328	26625
329	26100
330	25696
331	25382
332	24207
333	23876
334	23456
335	22681
336	22252
337	21888
338	21223
339	20834
340	20392
341	19849
342	19571
343	19348
344	18460
345	17989
346	17768
347	17259
348	16936
349	16426
350	16242
351	15934
352	15289
353	15232
354	14742
355	14412
356	14056
357	13835
358	13464
359	12962
360	12705
361	12813
362	12137
363	12014
364	11275
365	11275
366	10979
367	10756
368	10363
369	10308
370	10097
371	9863
372	9472
373	9154
374	8988
375	8928
376	8621
377	8392
378	8154
379	7887
380	7873
381	7501
382	7458
383	7399
384	7071
385	6917
386	6717
387	6635
388	6289
389	6267
390	6028
391	5900
392	5799
393	5655
394	5484
395	5305
396	5187
397	5204
398	5044
399	4863
400	4990
401	4926
402	4879
403	4833
404	4541
405	4442
406	4281
407	4298
408	4131
409	4042
410	3905
411	3677
412	3616
413	3559
414	3280
415	3085
416	2980
417	2773
418	2643
419	2646
420	2511
421	2535
422	2386
423	2316
424	2240
425	2263
426	2100
427	2094
428	2066
429	1978
430	1950
431	1941
432	1850
433	1824
434	1705
435	1705
436	1602
437	1601
438	1507
439	1514
440	1408
441	1405
442	1409
443	1304
444	1275
445	1218
446	1172
447	1181
448	1110
449	1107
450	1044
451	1037
452	1015
453	939
454	920
455	928
456	940
457	897
458	882
459	844
460	820
461	724
462	773
463	685
464	718
465	660
466	614
467	616
468	673
469	627
470	568
471	560
472	574
473	546
474	550
475	549
476	526
477	496
478	496
479	479
480	450
481	441
482	409
483	388
484	412
485	391
486	341
487	367
488	349
489	314
490	341
491	310
492	300
493	289
494	277
495	266
496	263
497	290
498	225
499	258
500	233
501	224
502	226
503	228
504	211
505	245
506	168
507	184
508	173
509	164
510	158
511	163
512	132
513	156
514	139
